"Empresa Genera",Año,Mes,Planta,"Energia Punta","Energia Valle","Energia Noche","Potencia Gen Punta","Potencia Gen Valle","Potencia Gen Noche","Potencia Sist Punta","Potencia Sist Valle","Potencia Sist Noche","Fecha Max","Hora Max","Factor Carga","Consumo Diesel","Consumo Bun","Consumo Bun AZ","Consumo Otro","Consumo Lub","Gasto Diesel","Gasto Bun","Gasto Bun AZ","Gasto Otro","Gasto Lub"
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2022,"Marzo     ",PIRRÍS,2278920.977,6108252.541,3375107.593,124954.27,82699.941,114496.426,54613.563,53333.867,35932.611,07-03-0202,"Apr 1",0.1129,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2022,"Marzo     ",REVENTAZON,10742221.24,19635635.961,20473290.17,144907.588,211563.867,157144.311,85545.342,157703.361,53232.801,17-03-0202,"Apr 1",0.2232,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2022,"Marzo     ","RÍO MACHO",5521128.089,10546860.379,8175924.4,119053.761,106250.426,128242.662,53922.683,67285.352,65948.917,04-03-0202,"Apr 1",0.2328,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2022,"Marzo     ","MIRAVALLES III",4124496.448,7405303.331,8366687.007,27857.785,28139.391,28242.592,27435.98,27232.215,27643.887,10-03-0202,"Apr 1",0.9897,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2022,"Marzo     ","SOLAR MIRAVALLES",20534,,,,,,,,,27-10-2025,,0.0276,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2022,"Marzo     ","MIRAVALLES V",0,0,0,-31.483,0,-32.987,-36.35,-35.54,-36.889,07-03-0202,"Apr 1",0.0000,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2022,"Marzo     ","MOÍN GAS II",0.229,331165.939,0,-45.766,59423.027,-49.423,-48.839,-47.166,-59.919,10-03-0202,"Apr 1",0.0046,125192,0,0,0,0,103555183.31,0,0,0,0
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2022,"Marzo     ","MOÍN GAS III",217.689,121502.863,301.964,-83.112,32591.154,-93.022,-153.6,-173.309,-111.95,11-03-0202,"Apr 1",0.0023,43797,0,0,0,0,0,0,0,0,0
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2022,"Marzo     ",OROTINA,299299.448,483797.342,320533.289,10109.153,10074.932,10064.688,0,0,9954.273,09-03-0202,"Apr 1",0.1566,12100,0,210070,0,1247,7616799.2,0,68304327.78,0,1452902.35
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2022,"Marzo     ",ECHANDI,1947774.5,,,,,,,,,27-10-2025,,0.6088,,,,,,,,,,
